Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login Page,4,826,108,2492,980.70,0.000%,.66511,34.85,0.55,53652.0
Authenticate,4,2446,318,3666,1378.52,0.000%,1.04302,1272.74,1.98,1249526.8
Upload Panel Request,4,2432,2312,2478,69.74,0.000%,1.61421,69.94,0.36,44366.0
Uploaded Bordereau List Request,8,1255,479,1973,712.06,0.000%,.22946,0.12,0.08,524.2
Upload Bordereau Request,4,27612,16505,32406,6542.38,0.000%,.12342,0.06,453.39,471.0
Monitor Request,407,921,302,3111,618.83,0.000%,1.72242,31.96,0.56,19003.0
Process Bordereau Request,4,195088,129370,230680,40974.99,0.000%,.01691,0.01,0.01,482.0
TOTAL,435,2985,108,230680,19111.17,0.000%,1.54779,45.63,52.81,30189.4
