Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Page,4,826,120,2492,2492,2492,108,2492,0.000%,.66511,34.85,0.55
Authenticate,4,2446,2136,3666,3666,3666,318,3666,0.000%,1.04302,1272.74,1.98
Upload Panel Request,4,2432,2465,2478,2478,2478,2312,2478,0.000%,1.61421,69.94,0.36
Uploaded Bordereau List Request,8,1255,753,1960,1973,1973,479,1973,0.000%,.22946,0.12,0.08
Upload Bordereau Request,4,27612,29202,32406,32406,32406,16505,32406,0.000%,.12342,0.06,453.39
Monitor Request,407,921,666,1881,2410,2965,302,3111,0.000%,1.72242,31.96,0.56
Process Bordereau Request,4,195088,191764,230680,230680,230680,129370,230680,0.000%,.01691,0.01,0.01
TOTAL,435,2985,672,2216,2698,32406,108,230680,0.000%,1.54779,45.63,52.81
