Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Page,4,386,108,1201,1201,1201,101,1201,0.000%,.66856,34.99,0.52
Authenticate,4,1349,347,2800,2800,2800,265,2800,0.000%,.78064,952.40,1.42
Upload Panel Request,4,1850,1816,2064,2064,2064,1470,2064,0.000%,1.05485,45.68,0.22
Uploaded Bordereau List Request,8,1213,990,1818,1828,1828,649,1828,0.000%,.22644,0.12,0.08
Upload Bordereau Request,4,27939,29146,32850,32850,32850,17040,32850,0.000%,.12177,0.05,447.30
Monitor Request,338,1023,731,2301,2792,3571,354,4490,0.000%,1.62267,31.52,0.51
Process Bordereau Request,4,170586,154729,202151,202151,202151,125879,202151,0.000%,.01923,0.01,0.01
TOTAL,366,3180,742,2455,3071,32850,101,202151,0.000%,1.45836,47.16,59.03
