Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login Page,4,386,101,1201,470.30,0.000%,.66856,34.99,0.52,53589.0
Authenticate,4,1349,265,2800,1082.85,0.000%,.78064,952.40,1.42,1249303.8
Upload Panel Request,4,1850,1470,2064,241.12,0.000%,1.05485,45.68,0.22,44342.0
Uploaded Bordereau List Request,8,1213,649,1828,495.65,0.000%,.22644,0.12,0.08,529.2
Upload Bordereau Request,4,27939,17040,32850,6466.25,0.000%,.12177,0.05,447.30,455.0
Monitor Request,338,1023,354,4490,747.09,0.000%,1.62267,31.52,0.51,19890.3
Process Bordereau Request,4,170586,125879,202151,31966.82,0.000%,.01923,0.01,0.01,466.0
TOTAL,366,3180,101,202151,18156.64,0.000%,1.45836,47.16,59.03,33114.2
