28 Jul 2017 12:08:51 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'AO09FCE': HPI check functionality has been de-activated.
28 Jul 2017 12:08:52 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'WU06PZT': HPI check functionality has been de-activated.
28 Jul 2017 12:08:52 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'LT65KJO': HPI check functionality has been de-activated.
28 Jul 2017 12:08:53 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'YT11OKK': HPI check functionality has been de-activated.
28 Jul 2017 12:08:53 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'KD57BZC': HPI check functionality has been de-activated.
28 Jul 2017 12:08:54 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'MM55HRG': HPI check functionality has been de-activated.
28 Jul 2017 12:08:54 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'MV62WVB': HPI check functionality has been de-activated.
28 Jul 2017 12:08:55 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.InsurerUpload - Error getting HPI info for vrn 'DS66LVV': HPI check functionality has been de-activated.
28 Jul 2017 12:08:56 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'CE09TTX': HPI check functionality has been de-activated.
28 Jul 2017 12:08:56 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'YE65OMU': HPI check functionality has been de-activated.
28 Jul 2017 12:08:57 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'DF02REY': HPI check functionality has been de-activated.
28 Jul 2017 12:08:57 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.InsurerUpload - Error getting HPI info for vrn 'RF66ABK': HPI check functionality has been de-activated.
28 Jul 2017 12:08:58 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'FP65NUO': HPI check functionality has been de-activated.
28 Jul 2017 12:08:58 INFO catalina-exec-10  idas.chox.web.security.CustomAuthenticationSuccessHandler - User 'Kay, Zoe (EasiDrive)' logged-in successfully from IP address 2a02:17d8:1000:400:0:0:5:1 on browser 'Apache-HttpClient/4.5.3 (Java/1.8.0_131)' with HTTP sessionId='17629208A8A90D71C0A1F77CA33A3E02'.
28 Jul 2017 12:08:59 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'EO63FBZ': HPI check functionality has been de-activated.
28 Jul 2017 12:09:00 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'OY08DGX': HPI check functionality has been de-activated.
28 Jul 2017 12:09:00 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'MJ54WBG': HPI check functionality has been de-activated.
28 Jul 2017 12:09:01 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'EX66NHH': HPI check functionality has been de-activated.
28 Jul 2017 12:09:01 INFO catalina-exec-3  idas.chox.web.security.CustomAuthenticationSuccessHandler - User 'Hogan, Glynis (LV=)' logged-in successfully from IP address 2a02:17d8:1000:400:0:0:5:1 on browser 'Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0' with HTTP sessionId='8EEE1B53D64B4979EF76DED39129EE38'.
28 Jul 2017 12:09:02 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'AD52XYM': HPI check functionality has been de-activated.
28 Jul 2017 12:09:03 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'SM14XBS': HPI check functionality has been de-activated.
28 Jul 2017 12:09:04 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'N14AWE': HPI check functionality has been de-activated.
28 Jul 2017 12:09:04 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'LA16WTN': HPI check functionality has been de-activated.
28 Jul 2017 12:09:05 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'KA54BHX': HPI check functionality has been de-activated.
28 Jul 2017 12:09:05 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'GY11AAU': HPI check functionality has been de-activated.
