Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login Page,4,461,103,1519,610.85,0.000%,.17785,9.29,0.15,53498.0
Authenticate,4,920,232,2709,1034.28,0.000%,.19474,237.52,0.43,1248926.8
Upload Panel Request,4,769,431,1256,324.29,0.000%,.22157,9.60,0.05,44365.0
Uploaded Bordereau List Request,8,559,404,928,169.39,0.000%,.44014,0.16,0.15,376.2
Upload Bordereau Request,4,2941,569,4079,1432.60,0.000%,.23750,0.07,872.41,302.0
Monitor Request,1106,12398,330,57876,10082.56,2.984%,2.67569,39.69,0.83,15191.3
Process Bordereau Request,4,295782,282978,300053,7392.68,75.000%,.01321,0.03,0.00,2347.0
TOTAL,1134,13157,103,300053,19616.17,3.175%,2.57668,49.27,34.21,19578.8
