Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Page,4,461,107,1519,1519,1519,103,1519,0.000%,.17785,9.29,0.15
Authenticate,4,920,346,2709,2709,2709,232,2709,0.000%,.19474,237.52,0.43
Upload Panel Request,4,769,524,1256,1256,1256,431,1256,0.000%,.22157,9.60,0.05
Uploaded Bordereau List Request,8,559,456,653,928,928,404,928,0.000%,.44014,0.16,0.15
Upload Bordereau Request,4,2941,3046,4079,4079,4079,569,4079,0.000%,.23750,0.07,872.41
Monitor Request,1106,12398,9434,27114,30002,33077,330,57876,2.984%,2.67569,39.69,0.83
Process Bordereau Request,4,295782,300049,300053,300053,300053,282978,300053,75.000%,.01321,0.03,0.00
TOTAL,1134,13157,9256,27159,30002,34410,103,300053,3.175%,2.57668,49.27,34.21
